;Name;Position;Nationality;Age;Height;Weight
1;Tobias Sippel;Goalkeeper;German;NA;180;79
2;Kevin Trapp;Goalkeeper;German;21;189;83
3;Jan Simunek;Defender;Czech;NA;189;79
4;Leon Jessen;Defender;Danish;25;182;75
5;Martin Amedick;Defender;German;NA;194;85
6;Matthias Abel;Defender;German;30;188;82
7;Alexander Bugera;Defender;German;33;180;75
8;Rodnei Francisco De Lima;Defender;Brazilian;26;190;90
9;Florian Dick;Defender;German;26;184;83
10;Oliver Kirch;Midfielder;German;NA;182;70
11;Christian Tiffert;Midfielder;German;29;183;75
12;Olcay Sahan;Midfielder;Turkish;24;177;70
13;Thanos Petsos;Midfielder;Greek;20;184;80
14;Gil Vermouth;Midfielder;Israeli;26;180;76
15;Clemens Walch;Midfielder;Austrian;24;180;74
16;Jiri Bilek;Midfielder;Czech;NA;183;73
17;Pierre De Wit;Midfielder;German;NA;172;70
18;Kostas Fortounis;Midfielder;Greek;18;182;69
19;Itay Shechter;Forward;Israeli;24;179;76
20;Ilijan Micanski;Forward;Bulgarian;NA;186;79
21;Richard Sukuta- Pasu;Forward;German;21;188;88
22;Chadli Amri;Forward;Algerian;NA;178;70
23;Stiven Rivic;Forward;Croatian;NA;181;74
24;Dorge Kouemaha;Forward;Cameroonian;28;190;85
25;Adam Nemec;Forward;Slovakian;NA;190;84
26;Michael Rensing;Goalkeeper;German;27;188;86
27;Miro Varvodic;Goalkeeper;Croatian;22;191;81
28;Miso Brecko;Defender;Slovenian;27;178;68
29;Ammar Jemal;Defender;Tunisian;24;186;87
30;Christian Eichner;Defender;German;28;183;76
31;Sascha Riether;Defender;German;28;174;70
32;Andrezinho;Defender;Brazilian;29;173;67
33;Sereno;Defender;Portuguese;26;188;78
34;Geromel;Defender;Brazilian;25;190;84
35;Kevin Mckenna;Defender;Canadian;29;190;85
36;Tomoaki Makino;Defender;Japanese;24;182;76
37;Petit;Midfielder;Portuguese;34;176;72
38;Martin Lanig;Midfielder;German;27;190;79
39;Slawomir Peszko;Midfielder;Polish;26;172;64
40;Kevin Pezzoni;Midfielder;German;22;193;91
41;Mato Jajalo;Midfielder;Croatian;23;182;77
42;Adam Matuschyk;Midfielder;Polish;22;183;73
43;Christian Clemens;Midfielder;German;20;180;70
44;Sebastian Freis;Forward;German;26;183;78
45;Lukas Podolski;Forward;German;26;182;83
46;Milivoje Novakovic;Forward;Slovenian;32;192;85
47;Alexandru Ionita;Forward;Romanian;22;185;80
48;Adil Chihi;Forward;German;23;183;78
49;Wilfried Sanou;Forward;Burkinabe;27;165;64
50;Raphael Sch<U+00E4>fer;Goalkeeper;German;32;190;91
